Title,URL,Author,Average_rating,Rating,Reviews,Pages,Year,Series,Setting,Awards,Genres,Awards_no
"Brisingr (The Inheritance Cycle, #3)",https://www.goodreads.com//book/show/2248573.Brisingr,Christopher Paolini,4.05,318686.0,9254.0,748.0,2008.0,1,['Alagaësia'],[],"['Fantasy', ' Young Adult', ' Fiction']",
Fingersmith,https://www.goodreads.com//book/show/8913370-fingersmith,Sarah Waters,3.99,88473.0,6086.0,592.0,2002.0,0,"['London', ' England  United Kingdom', ' ']","['Booker Prize Nominee (2002), Stonewall Book Award Nominee for Literature (2003), Orange Prize Nominee for Fiction Shortlist (2002), CWA Ellis Peters Historical Award (2002), Lambda Literary Award for Lesbian Fiction (2003)\n...more\nこのミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (2005)']","['Historical', ' Fiction', ' LGBT']",6.0
"The Slippery Slope (A Series of Unfortunate Events, #10)",https://www.goodreads.com//book/show/297792.The_Slippery_Slope,Lemony Snicket,4.02,108999.0,2590.0,337.0,2003.0,1,['Mortmain Mountains'],[],"['Fiction', ' Young Adult', ' Childrens']",
Unaccustomed Earth,https://www.goodreads.com//book/show/85301.Unaccustomed_Earth,Jhumpa Lahiri,4.09,87600.0,8013.0,352.0,2008.0,0,,"[""Frank O'Connor International Short Story Award (2008), The Story Prize Nominee (2008), Commonwealth Writers' Prize for Best Book in South Asia and Europe (2009), Asian/Pacific American Award for Literature for Adult Fiction (2008)""]","['Fiction', ' Short Stories', ' Cultural']",4.0
"P.S. I Love You (P.S. I Love You, #1)",https://www.goodreads.com//book/show/366522.P_S_I_Love_You,Cecelia Ahern,4.02,347745.0,8742.0,501.0,2005.0,1,"['Dublin  Ireland', ' ']",[],"['Romance', ' Womens Fiction', ' Fiction']",
"Tithe (Modern Faerie Tales, #1)",https://www.goodreads.com//book/show/46777.Tithe,Holly Black,3.72,85160.0,4556.0,332.0,2004.0,1,"['New Jersey  United States', ' ']","[""Mythopoeic Fantasy Award Nominee for Children's Literature (2008), Lincoln Award Nominee (2008)""]","['Fantasy', ' Young Adult', ' Fantasy']",2.0
"Storm Front (The Dresden Files, #1)",https://www.goodreads.com//book/show/47212.Storm_Front,Jim Butcher,3.99,309354.0,17062.0,355.0,2000.0,1,"['Chicago', ' Illinois  United States', ' ']",['Compton Crook Award Nominee (2001)'],"['Fantasy', ' Fantasy', ' Mystery']",1.0
Outliers: The Story of Success,https://www.goodreads.com//book/show/3228917-outliers,Malcolm Gladwell,4.17,602285.0,27085.0,309.0,2008.0,0,,[],"['Nonfiction', ' Psychology', ' Business']",
Choke,https://www.goodreads.com//book/show/29059.Choke,Chuck Palahniuk,3.7,191959.0,6153.0,293.0,2002.0,0,['United States of America'],[],"['Fiction', ' Contemporary', ' Humor']",
"The Wide Window (A Series of Unfortunate Events, #3)",https://www.goodreads.com//book/show/438492.The_Wide_Window,Lemony Snicket,3.93,166723.0,5146.0,214.0,2000.0,1,['Lake Lachrymose  Curdled Cave'],[],"['Fiction', ' Young Adult', ' Childrens']",
Just Listen,https://www.goodreads.com//book/show/51738.Just_Listen,Sarah Dessen,4.05,238521.0,8231.0,371.0,2006.0,0,"['Lakeview', ' North Carolina  United States', ' ']","['Rhode Island Teen Book Award Nominee (2009), Iowa High School Book Award (2009), Lincoln Award Nominee (2011), Missouri Gateway Readers Award (2009), Margaret A. Edwards Award (2017)']","['Young Adult', ' Romance', ' Contemporary']",5.0
"Dark Lover (Black Dagger Brotherhood, #1)",https://www.goodreads.com//book/show/42899.Dark_Lover,J.R. Ward,4.17,302095.0,13409.0,393.0,2005.0,1,"['Caldwell', ' New York  United States', '    New York State  United States', ' ']","[""All About Romance (AAR) Annual Reader Poll for Best Alt Reality/Paranormal (2006), RITA Award by Romance Writers of America Nominee for Paranormal Romance (2006), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Vampire Romance (2005), HOLT Medallion by Virginia Romance Writers Nominee for Paranormal/Time Travel/Futuristic/Fantasy (2006), DABWAHA Romance Tournament for Best Paranormal: Vampires, Werewolves, and the Supernatural (2006)""]","['Romance', ' Fantasy', ' Paranormal']",7.0
"Moon Called (Mercy Thompson, #1)",https://www.goodreads.com//book/show/71811.Moon_Called,Patricia Briggs,4.13,186924.0,8681.0,289.0,2006.0,1,"['Tri-Cities', ' Washington  United States', '    Washington state', '   United States', ' ']",[],"['Fantasy', ' Fantasy', ' Fantasy']",
The Book of Negroes,https://www.goodreads.com//book/show/23316548-the-book-of-negroes,Lawrence Hill,4.43,78164.0,6431.0,512.0,2015.0,0,"['United States of America  London', ' England  United Kingdom', '    Canada  …more Nova Scotia  Canada', '    Sierra Leone  …less']","[""Scotiabank Giller Prize Nominee (2007), Gustavus Myers Outstanding Book Award (2009), Hurston/Wright Legacy Award Nominee for Fiction (2008), Commonwealth Writers' Prize for Best Book Overall (2008), CBC Canada Reads (2009)\n...more\nRogers Writers' Trust Fiction Prize (2007), OLA Evergreen Award (2008)""]","['Historical', ' Fiction', ' Cultural']",7.0
"A Breath of Snow and Ashes (Outlander, #6)",https://www.goodreads.com//book/show/10965.A_Breath_of_Snow_and_Ashes,Diana Gabaldon,4.42,147191.0,5663.0,993.0,2006.0,1,"['United States of America  North Carolina', ' 1773  United States', '    North Carolina', ' 1774  United States', '    …more North Carolina', ' 1775  United States', '    North Carolina', ' 1776  United States', '    …less']","['All About Romance (AAR) Annual Reader Poll for Most-Hanky Read (tie) & Best American Historical/Frontier Romance (2006), The Quill Award for Science fiction/fantasy/horror (2006), Corine Internationaler Buchpreis for Weltbild Leserpreis (2006)']","['Historical', ' Romance', ' Fiction']",3.0
Under the Dome,https://www.goodreads.com//book/show/6320534-under-the-dome,Stephen King,3.91,267800.0,15154.0,1074.0,2009.0,0,"['Chesters Mill', ' Maine  United States', '    Maine  United States', ' ']","['Locus Award Nominee for Best Science Fiction Novel (2010), British Fantasy Award Nominee for Best Novel (2010), Goodreads Choice Award Nominee for Mystery/Thriller (2009)']","['Horror', ' Fiction', ' Science Fiction']",3.0
Saturday,https://www.goodreads.com//book/show/5015.Saturday,Ian McEwan,3.62,67357.0,4002.0,289.0,2006.0,0,"['London', ' England', ' 2003  United Kingdom', ' ']","['Booker Prize Nominee for Longlist (2005), James Tait Black Memorial Prize for Fiction (2005)']","['Fiction', ' Contemporary', ' European Literature']",2.0
The Plot Against America,https://www.goodreads.com//book/show/703.The_Plot_Against_America,Philip Roth,3.77,54378.0,4393.0,391.0,2005.0,0,"['Newark', ' New Jersey', ' 1940  United States', '    New Jersey', ' 1940  United States', ' ']","['Locus Award Nominee for Best SF Novel (2005), WH Smith Literary Award (2005), James Fenimore Cooper Prize (2005), National Book Critics Circle Award Nominee for Fiction (2004), Tähtivaeltaja Award Nominee (2006)\n...more\nSidewise Award for Long Form (2004)']","['Fiction', ' Historical', ' Science Fiction']",7.0
The God Delusion,https://www.goodreads.com//book/show/14743.The_God_Delusion,Richard Dawkins,3.89,242203.0,8494.0,374.0,2006.0,0,,['British Book Award for The Author of the Year (2007)'],"['Nonfiction', ' Religion', ' Science']",1.0
Cane River,https://www.goodreads.com//book/show/5167.Cane_River,Lalita Tademy,4.07,46641.0,2131.0,522.0,2002.0,0,"['Louisiana  United States', ' ']",[],"['Historical', ' Fiction', ' Historical']",
Paper Towns,https://www.goodreads.com//book/show/6442769-paper-towns,John Green,3.78,988836.0,49397.0,305.0,2009.0,0,"['Orlando', ' Florida  United States', '    Agloe', ' New York  United States', ' ']","[""Anthony Award Nominee for Best Children's/Young Adult Novel (2009), Edgar Award for Best Young Adult (2009), Rhode Island Teen Book Award Nominee (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2011), The Inky Awards Nominee for Silver Inky (2009)\n...more\nLincoln Award Nominee (2011), Bronzener Lufti (2010), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Missouri Gateway Readers Award Nominee (2011), Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2010)""]","['Young Adult', ' Contemporary', ' Fiction']",11.0
Because of Winn-Dixie,https://www.goodreads.com//book/show/357664.Because_of_Winn_Dixie,Kate DiCamillo,4.06,216084.0,9388.0,182.0,2001.0,0,"['Florida  United States', ' ']","[""Newbery Medal Nominee (2001), Book Sense Book of the Year Award for Children's Literature (2001), Josette Frank Award (2001), Mark Twain Award  (2003), Texas Bluebonnet Award (2002)\n...more\nSouth Carolina Book Award for Children's Book Award (2003), Charlotte Award (2002), Nene Award (2005), Maryland Black-Eyed Susan Book Award for Grade 4-6 (2002), Massachusetts Children's Book Award (2002), Keystone to Reading Book Award for Intermediate (2003), Dorothy Canfield Fisher Children's Book Award (2002), Sunshine State Young Readers Award for Grades 3-5 (2001), Pacific Northwest Library Association Young Reader's Choice Award for Junior (2003), Charlie May Simon Children's Book Award (2003), New Mexico Land of Enchantment Award for Children's (2003), California Young Readers Medal for Intermediate (2003), Judy Lopez Memorial Award for Children's Literature Nominee (2001), Chapman Award for Shared Reading Nominee for Fiction (2000), William Allen White Children's Book Award (2003), Washington State Sasquatch Award (2003), Oklahoma Sequoyah Award for Children (2003)""]","['Fiction', ' Childrens', ' Realistic Fiction']",22.0
